serial1: F5 	0 	BA 	FF 	serial2: 0 	0 	0 	0 	89600
serial1: 0 	40 	D6 	BF 	serial2: 0 	0 	0 	0 	89652
serial1: 29 	40 	D6 	BF 	serial2: 40 	D6 	32 	C9 	89672
serial1: 29 	40 	0 	BF 	serial2: 40 	D6 	32 	C9 	89693
serial1: FF 	40 	0 	BF 	serial2: 40 	0 	80 	0 	89712
serial1: FF 	40 	2 	BF 	serial2: 40 	0 	80 	0 	89733
serial1: FD 	40 	2 	BF 	serial2: 40 	2 	26 	66 	89753
serial1: FD 	40 	4 	BF 	serial2: 40 	2 	26 	66 	89773
serial1: FB 	40 	4 	BF 	serial2: 40 	4 	40 	0 	89793
serial1: FB 	40 	6 	BF 	serial2: 40 	4 	40 	0 	89814
serial1: F9 	40 	6 	BF 	serial2: 40 	6 	10 	0 	89833
serial1: F9 	40 	8 	BF 	serial2: 40 	6 	10 	0 	89853
serial1: F7 	40 	8 	BF 	serial2: 40 	8 	0 	0 	89874
serial1: F7 	40 	A 	BF 	serial2: 40 	8 	0 	0 	89893
serial1: F5 	40 	A 	BF 	serial2: 40 	A 	0 	0 	89914
serial1: F5 	40 	C 	BF 	serial2: 40 	A 	0 	0 	89934
serial1: F3 	40 	C 	BF 	serial2: 40 	C 	80 	0 	89954
serial1: F3 	40 	E 	BF 	serial2: 40 	C 	80 	0 	89974
serial1: F1 	40 	E 	BF 	serial2: 40 	E 	0 	0 	89995
serial1: F1 	40 	10 	BF 	serial2: 40 	E 	0 	0 	90014
serial1: EF 	40 	10 	BF 	serial2: 40 	10 	0 	0 	90035
serial1: EF 	40 	12 	BF 	serial2: 40 	10 	0 	0 	90055
serial1: ED 	40 	12 	BF 	serial2: 40 	12 	0 	0 	90075
serial1: ED 	40 	14 	BF 	serial2: 40 	12 	0 	0 	90095
serial1: EB 	40 	14 	BF 	serial2: 40 	14 	0 	1 	90116
serial1: EB 	40 	2A 	BF 	serial2: 40 	14 	0 	1 	90135
serial1: D5 	40 	2A 	BF 	serial2: 40 	2A 	A 	F0 	90156
serial1: D5 	40 	2E 	BF 	serial2: 40 	2A 	A 	F0 	90176
serial1: D1 	40 	2E 	BF 	serial2: 40 	2E 	0 	5 	90195
serial1: D1 	40 	32 	BF 	serial2: 40 	2E 	0 	5 	90216
serial1: CD 	40 	32 	BF 	serial2: 40 	32 	0 	0 	90236
serial1: CD 	40 	34 	BF 	serial2: 40 	32 	0 	0 	90256
serial1: CB 	40 	34 	BF 	serial2: 40 	34 	26 	66 	90276
serial1: CB 	40 	7C 	BF 	serial2: 40 	34 	26 	66 	90297
serial1: 83 	40 	7C 	BF 	serial2: 40 	7C 	0 	1 	90316
serial1: 83 	40 	92 	BF 	serial2: 40 	7C 	0 	1 	90337
serial1: 6D 	40 	92 	BF 	serial2: 40 	92 	7A 	D0 	90357
serial1: 6D 	40 	94 	BF 	serial2: 40 	92 	7A 	D0 	90378
serial1: 6B 	40 	94 	BF 	serial2: 40 	94 	8 	30 	90397
serial1: 6B 	40 	96 	BF 	serial2: 40 	94 	8 	30 	90418
serial1: 69 	40 	96 	BF 	serial2: 40 	96 	0 	75 	90437
serial1: 69 	40 	98 	BF 	serial2: 40 	96 	0 	75 	90458
serial1: 67 	40 	98 	BF 	serial2: 40 	98 	3A 	98 	90478
serial1: 67 	40 	9A 	BF 	serial2: 40 	98 	3A 	98 	90499
serial1: 65 	40 	9A 	BF 	serial2: 40 	9A 	0 	0 	90518
serial1: 65 	40 	C0 	BF 	serial2: 40 	9A 	0 	0 	90539
serial1: 3F 	40 	C0 	BF 	serial2: 40 	C0 	0 	1 	90558
serial1: 3F 	40 	C8 	BF 	serial2: 40 	C0 	0 	1 	90578
serial1: 37 	40 	C8 	BF 	serial2: 40 	C8 	75 	30 	90599
serial1: 37 	40 	D8 	BF 	serial2: 40 	C8 	75 	30 	90619
serial1: 27 	40 	D8 	BF 	serial2: 40 	D8 	0 	0 	90639
serial1: 27 	45 	0 	BA 	serial2: 40 	D8 	0 	0 	90659
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	90679
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	90699
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	90720
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	90739
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	90760
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	90780
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	90800
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	90820
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	90841
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	90860
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	90881
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	90901
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	90920
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	90941
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	90961
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	90981
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	91001
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	91022
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	91041
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	91062
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	91082
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	91102
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	91122
