
Actual data:
serial1: 40 	D6 	BF 	29  serial2: 40 	D6 	32 	C9 	5702
serial1: 40 	0 	BF 	FF  serial2: 40 	0 	80 	0 	5743
serial1: 40 	0 	BF 	FF  serial2: 40 	0 	80 	0 	5743
serial1: 40 	2 	BF 	FD  serial2: 40 	02 	26 	66 	5763


serial1: 45serial1: 0 	0 	0 	0 	serial2: 0 	0 	0 	0 	5632
serial1: 0 	40 	D6 	BF 	serial2: 0 	0 	0 	0 	5682
serial1: 29 	40 	D6 	BF 	serial2: 40 	D6 	32 	C9 	5702
serial1: 29 	40 	0 	BF 	serial2: 40 	D6 	32 	C9 	5723
serial1: FF 	40 	0 	BF 	serial2: 40 	0 	80 	0 	5743
serial1: FF 	40 	2 	BF 	serial2: 40 	0 	80 	0 	5763
serial1: FD 	40 	2 	BF 	serial2: 40 	2 	26 	66 	5783
serial1: FD 	40 	4 	BF 	serial2: 40 	2 	26 	66 	5804
serial1: FB 	40 	4 	BF 	serial2: 40 	4 	40 	0 	5823
serial1: FB 	40 	6 	BF 	serial2: 40 	4 	40 	0 	5843
serial1: F9 	40 	6 	BF 	serial2: 40 	6 	10 	0 	5864
serial1: F9 	40 	8 	BF 	serial2: 40 	6 	10 	0 	5883
serial1: F7 	40 	8 	BF 	serial2: 40 	8 	0 	0 	5904
serial1: F7 	40 	A 	BF 	serial2: 40 	8 	0 	0 	5924
serial1: F5 	40 	A 	BF 	serial2: 40 	A 	0 	0 	5944
serial1: F5 	40 	C 	BF 	serial2: 40 	A 	0 	0 	5964
serial1: F3 	40 	C 	BF 	serial2: 40 	C 	80 	0 	5985
serial1: F3 	40 	E 	BF 	serial2: 40 	C 	80 	0 	6004
serial1: F1 	40 	E 	BF 	serial2: 40 	E 	0 	0 	6025
serial1: F1 	40 	10 	BF 	serial2: 40 	E 	0 	0 	6045
serial1: EF 	40 	10 	BF 	serial2: 40 	10 	0 	0 	6065
serial1: EF 	40 	12 	BF 	serial2: 40 	10 	0 	0 	6085
serial1: ED 	40 	12 	BF 	serial2: 40 	12 	0 	0 	6106
serial1: ED 	40 	14 	BF 	serial2: 40 	12 	0 	0 	6125
serial1: EB 	40 	14 	BF 	serial2: 40 	14 	0 	1 	6146
serial1: EB 	40 	2A 	BF 	serial2: 40 	14 	0 	1 	6166
serial1: D5 	40 	2A 	BF 	serial2: 40 	2A 	A 	F0 	6185
serial1: D5 	40 	2E 	BF 	serial2: 40 	2A 	A 	F0 	6206
serial1: D1 	40 	2E 	BF 	serial2: 40 	2E 	0 	5 	6226
serial1: D1 	40 	32 	BF 	serial2: 40 	2E 	0 	5 	6246
serial1: CD 	40 	32 	BF 	serial2: 40 	32 	0 	0 	6266
serial1: CD 	40 	34 	BF 	serial2: 40 	32 	0 	0 	6287
serial1: CB 	40 	34 	BF 	serial2: 40 	34 	26 	66 	6306
serial1: CB 	40 	7C 	BF 	serial2: 40 	34 	26 	66 	6327
serial1: 83 	40 	7C 	BF 	serial2: 40 	7C 	0 	1 	6347
serial1: 83 	40 	92 	BF 	serial2: 40 	7C 	0 	1 	6367
serial1: 6D 	40 	92 	BF 	serial2: 40 	92 	7A 	D0 	6387
serial1: 6D 	40 	94 	BF 	serial2: 40 	92 	7A 	D0 	6408
serial1: 6B 	40 	94 	BF 	serial2: 40 	94 	8 	30 	6427
serial1: 6B 	40 	96 	BF 	serial2: 40 	94 	8 	30 	6448
serial1: 69 	40 	96 	BF 	serial2: 40 	96 	0 	75 	6468
serial1: 69 	40 	98 	BF 	serial2: 40 	96 	0 	75 	6488
serial1: 67 	40 	98 	BF 	serial2: 40 	98 	3A 	98 	6508
serial1: 67 	40 	9A 	BF 	serial2: 40 	98 	3A 	98 	6529
serial1: 65 	40 	9A 	BF 	serial2: 40 	9A 	0 	0 	6548
serial1: 65 	40 	C0 	BF 	serial2: 40 	9A 	0 	0 	6568
serial1: 3F 	40 	C0 	BF 	serial2: 40 	C0 	0 	1 	6589
serial1: 3F 	40 	C8 	BF 	serial2: 40 	C0 	0 	1 	6608
serial1: 37 	40 	C8 	BF 	serial2: 40 	C8 	75 	30 	6629
serial1: 37 	40 	D8 	BF 	serial2: 40 	C8 	75 	30 	6649
serial1: 27 	40 	D8 	BF 	serial2: 40 	D8 	0 	0 	6669
serial1: 27 	45 	0 	BA 	serial2: 40 	D8 	0 	0 	6689
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	6710
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	6729
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	6750
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	6770
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	6790
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	6810
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	6831
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	6850
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	6871
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	6891
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	6910
